id,description,rating
INTE2547,"The main objective of this course is for students to acquire the tools and techniques necessary to perform practical security testing in various areas. Students are provided with a range of practical exercises and tasks to reinforce their skills including: Monitoring Internet traffic, testing of secure applications, identification of vulnerabilities in networked and mobile/wireless applications. In addition, students will learn input validation techniques to minimise security risks, man-in-the-middle attack techniques to be able to build more secure networked applications, practical secure software testing techniques to be able to test applications for security bugs.",2.75
MATH1293,"This course introduces approaches to solving optimisation problems faced by decision makers in today’s fast-paced business environment through building computer models to analyse and evaluate decision alternatives. By applying the methods and tools of science to management and decision making, sensible courses of action may be devised for real world problems. Extensive use will be made of appropriate software for problem solving, principally with spreadsheets.",2.5
INTE2584,"The role of cybersecurity governance has become significantly important as businesses continue to experience digital transformation, changing business needs and models, ever-increasing cyber threats, and updated legal and ethical compliances. This course will focus on the policies, procedures, guidelines, techniques, and practices an organisation use to detect, protect, prevent and react to cyber incidents. This course will provide a broad understanding of the principles and good practices of cybersecurity governance, cybersecurity framework and standards that govern the development of strategies and policies in business organisations, the role, and responsibilities of different stakeholders, the design and implementation of metrics and key point indicators (KPIs) used in the governance process, and the management and protection of corporate information assets.",2.61538461538462
COSC1125,"This course introduces you to the basic concepts and techniques of Artificial Intelligence (AI). AI is the sub-area of computer science devoted to creating software and hardware to get computers to do things that would be considered ‘intelligent’ as if people did them. Artificial intelligence has had an active and exciting history and is now a reasonably mature area of computer science. Many of the research discoveries have now reached the point of industrial application and. many companies have made and saved millions of dollars by exploiting the results of AI research. However the goal of emulating human intelligence has not been reached and many stimulating and challenging problems remain. All serious programmers and software engineers should know about the major AI techniques, which are regarded by many the core knowledge of any Computer Science degree. This course will allow you to gain generic problem solving skills that have applicability to a wide range of real-world problems. Topics covered include search strategies for solving problems, knowledge representation, automated planning, intelligent agents, reasoning under uncertainty, bio-inspired optimisation, and machine learning.",2.875
BIOL2512,"Systems biology is an interdisciplinary field that explores biological systems as dynamic, interconnected networks rather than isolated components. This course provides a comprehensive introduction to the Systems Biology approach, integrating molecular to population-level insights through a multi-omics framework. Building on fundamental concepts in molecular and cell biology, content will demonstrate how genomics, transcriptomics, proteomics, metabolomics, and bioinformatics converge to decode the structure, function, and regulation of biological systems. Key topics include cellular networks, metabolic pathways, and regulatory mechanisms, as well as how environmental and intracellular signals influence gene expression, translation, and ultimately, biological function across different scales—from cells to tissues, organisms, and populations. Practical workshops and laboratory sessions will offer hands-on experience in generating and analysing omics datasets from model organisms, equipping students with the technical expertise to handle high-throughput data, computational modelling, and data integration. This course will develop your advanced critical thinking, problem-solving, and scientific communication skills, preparing you to analyse and interpret complex biological processes. By bridging theoretical and applied systems biology, you will gain the practical and analytical expertise required for careers in biotechnology, biomedical research, and data-driven biological sciences in both academic and industry settings.",2.39285714285714
BUSM1311,"This foundational course focuses on introducing you to the underlying concepts and principles that explain entrepreneurship. After completing this course, you will have examined the personal characteristics and skillsets that make up a successful entrepreneur and explored the resources required for a successful entrepreneurial journey. This course is focused on helping you to develop an entrepreneurial mindset, which will enable you to create innovative ideas that address commercial, social and environmental problems. You will develop your own creative abilities and an alertness to the volatile, uncertain, complex, ambiguous, and hyper-connected (VUCAH) environment around you. You will use these skills to seek out entrepreneurial opportunities and to evaluate the financial, environmental and social impact of entrepreneurial ventures.",2.47222222222222
COSC2821,"By completing this course, you will gain an overall technical expertise in development using cloud technologies and be prepared to take the AWS Certified Developer–Associate level AWS Certification exam. The course will help you to understand the development process on AWS platform while covering concepts such as containers, caching, lambda, building and deploying secure solutions.",2.66666666666667
MATH2300,"This course focuses on analysing categorical response data in scientific fields. It provides you with an overview of methods used in analysing categorical data also known as data on the nominal scale. Categorical distributions and their properties and applications will be covered. This is followed by binary, nominal and ordinal logistic regression and Poisson regression. Visualization of categorical data using a computer package is part of the course.",2.625
MATH2237,"Learn how to design intuitive, accessible and compelling data visualisations that communicate the story behind the data and address practical, real-world problems. During this course you will discover how to integrate interdisciplinary knowledge from the major fields that inform and shape data visualisation practice, including information visualisation, visual perception and psychology, statistics, computer science and art. By working through your own visualisations and studying the work of others, you will develop a design-driven approach to data visualisation. Specifically, you will learn to clearly articulate a targeted audience and design goal, source and prepare appropriate data, choose an appropriate design and bring your design to life using open source, web-based, interactive data visualisation technology. You will learn to identify and apply practical, evidence-based strategies that enhance effective data visualisation through a synthesis of the research literature and expert experience. Throughout the course, you will also learn how to critique data visualisations, navigate professional and ethical issues, apply methods of storytelling with data, and build apps, including dashboards. Major course assignments will require you to apply your learning to solve authentic problems. Formative module quizzes will be used to self-monitor and assess your knowledge gained throughout the course. If you are enrolled in this course as a component of your Bachelor Honours Program, your overall mark will contribute to the calculation of the Weighted Average Mark (WAM). See the WAM information web page for more information.",2.58333333333333
ISYS3449,"The growth in organisations’ ability to collect large amount of data present challenges of unlocking value from such data. Organisations that are capable of unlocking insights from business data are able to improve the decision-making, inform the strategy, thus achieve sustained competitive advantages. This course is designed to equip you with the advanced models, methods, and tools required for a deep understanding of the latest business analytics techniques. Artificial intelligence, machine learning, heuristics and patterns matching are introduced to cater for the need of the business analytics in modern organisations for unlocking value from business data. Different business problems are chosen to illustrate the effectiveness and applicability of these business analytics techniques.",2.93181818181818
COSC3088,"Step into the dynamic world of IT ethics! In this course, you will gain the practical and theoretical insights essential for navigating ethical conflicts in contemporary IT and Cyber Security workplaces. This course will build your confidence in identifying and talking about professional conflict, and in making and documenting common ethical decisions facing IT and Cyber Security professionals. Learning through diverse workplace scenarios, you will unravel the intricate threads that weave together social responsibility, legal considerations, and professional integrity. This course will introduce you to ethical issues surrounding a range of contemporary practice areas, including privacy and security, cloud computing and networking, virtual reality and sensor technologies, artificial intelligence, robotics, environmental sustainability, hacking, and cybercrime.",2.19230769230769
ECON1349,"This course will introduce you to the economic foundations necessary to understand distributed ledger technology for the economy, markets, firms, government and civil society. You will be introduced to, and apply, institutional cryptoeconomics as a general framework to understand the blockchain economy. The applications of blockchain technology will include money, supply chains, identity, cryptodemocracy and civil society. You will consider some of the political and ethical challenges generated by this new technology, including public policy implications.",2.32142857142857
OMGT2146,"This course provides an introduction to quantitative methods that can be used in industry. You will acquire advanced spreadsheet and database modelling skills. The course will introduce static and dynamic models of supply chains and logistics systems. Specifically, it will apply transport and transhipment models to optimize supply chains. The course will enhance your appreciation of logistics and the usefulness of mathematical and statistical models in solving logistics problems. You will learn to think systematically about the fundamental processes involved and to evaluate the performance of a supply chain as a system. You will also develop your critical thinking skills to the point where you are able to deliberate on contemporary issues in supply chain management.",2.22222222222222
COSC2476,"Mixed Reality is intended to provide you with an opportunity to gain further knowledge and abilities for a career in the game or the AR/VR industries. Insights into the process of programming and designing mixed reality experiences, will primarily be via a ‘student centred’ learning approach based on project design and implementation along with presentations and reports. A multi-part studio-based project will provide you with an environment in which you will learn core aspects of building mixed reality games and applications. Upon completion of the course, you will have gained problem solving skills, project management skills, an understanding of core knowledge areas of mixed reality design and programming, as well as furthering familiarity with tools and tool chains for designing and developing those. You will be required to brainstorm, implement and refine novel mixed reality experiences, and to document and present your work in this area repeatedly. If you are enrolled in this course as a component of your Bachelor Honours Program, your overall mark will contribute to the calculation of the Weighted Average Mark (WAM). See the WAM information web page for more information.",3.07692307692308
BUSM1202,"This course is about how to understand, navigate and manage change in organisations as they face complex, dynamic, and uncertain work environments. Learners in this course will develop understanding of theoretical and practical perspectives and will be exposed to experiences shaping their capabilities to navigate and manage organisational change. The activities in this course are designed for learners to apply knowledge of managing change to diverse industries and sectors. Particularly, learners will develop understanding of managing change through appreciation, analysis, and evaluation of (1) individual experiences of organisation change (2) organisational considerations in managing change, and (3) the impact of change outside organisation on what happens within organisations, including ethical and professional management of organisational change.",2.20833333333333
ISYS3413,"This hands-on course is intended to equip you to undertake software development projects following established software engineering principles, pattern and tools. The software engineering principles covered will include iterative processes, test-driven development, version-control, MVC design patterns, object-oriented design and refactoring. This course also aims to provide an immersive learning experience using a real-life project, which requires you to apply and integrate the principles and skills learnt in first year courses. You are expected to have some familiarity with an object-oriented language such as Java, be familiar with relational databases and be exposed to basic web programming constructs such as HTML, CSS and JavaScript.",2.53571428571429
